model,subset,point,ci_lo,ci_hi
L2,NCTI,0.5914438502673797,0.5459893048128343,0.6486631016042781
L2,NI,0.5812834224598931,0.5363636363636364,0.6411764705882353
L2,NT,0.5614973262032086,0.5148882165206461,0.6192513368983957
L2,NTI,0.5866310160427808,0.5385026737967914,0.6444248156167217
L2,T,0.5197860962566845,0.46844919786096256,0.5716577540106952
L2,TI,0.5770053475935829,0.5304812834224599,0.633985453667575
LGBM,C,0.5481283422459893,0.4978609625668449,0.6026737967914438
LGBM,CI,0.5427807486631016,0.48770053475935826,0.6021390374331551
LGBM,CT,0.5566844919786096,0.5032085561497326,0.6160427807486631
LGBM,CTI,0.5385026737967914,0.48502673796791446,0.5967914438502674
LGBM,I,0.4732620320855615,0.41550802139037435,0.5240641711229946
LGBM,N,0.5106951871657754,0.4550802139037433,0.5671026517036322
LGBM,NC,0.5427807486631016,0.4893048128342246,0.6002985464114784
LGBM,NCI,0.5213903743315508,0.4679144385026738,0.5759358288770053
LGBM,NCT,0.5866310160427808,0.5379679144385027,0.6470588235294118
LGBM,NCTI,0.5577540106951872,0.506951871657754,0.6149732620320856
LGBM,NI,0.5106951871657754,0.45454545454545453,0.5652406417112299
LGBM,NT,0.5598930481283423,0.5096256684491979,0.6160427807486631
LGBM,NTI,0.5385026737967914,0.4844919786096257,0.5925133689839572
LGBM,T,0.5459893048128343,0.4946524064171123,0.604812834224599
LGBM,TI,0.5,0.4457319494823585,0.551336898395722
Ridge,C,0.5470588235294118,0.49572192513368984,0.6010695187165775
Ridge,CI,0.4711229946524064,0.41060583865370254,0.5224598930481283
Ridge,CT,0.5887700534759358,0.5438502673796791,0.6448987686141561
Ridge,CTI,0.5748663101604278,0.5310160427807487,0.6299465240641712
Ridge,I,0.4112299465240642,0.3518716577540107,0.45294117647058824
Ridge,N,0.446524064171123,0.38877005347593585,0.49732620320855614
Ridge,NC,0.5481283422459893,0.49518716577540106,0.6037433155080214
Ridge,NCI,0.5042780748663102,0.4486631016042781,0.560427807486631
Ridge,NCT,0.6058823529411764,0.5668449197860963,0.6614939884078027
Ridge,NCTI,0.5791443850267379,0.5342245989304812,0.6331550802139038
Ridge,NI,0.44010695187165777,0.3839572192513369,0.48770053475935826
Ridge,NT,0.5887700534759358,0.5422459893048128,0.6497326203208557
Ridge,NTI,0.5855614973262032,0.5390374331550802,0.6443850267379679
Ridge,T,0.5941176470588235,0.5486631016042781,0.6545454545454545
Ridge,TI,0.5951871657754011,0.5514638514774601,0.6529411764705882
