category,block_id,value_a,value_b,coincidence
Bacon,1,3,6,4.0659340659
Bacon,1,3,7,2.3296703297
Bacon,1,4,1,9.2747252747
Bacon,1,4,2,7.2637362637
Bacon,1,4,3,4.1758241758
Bacon,1,4,4,2.2197802198
Bacon,1,4,5,5.5164835165
Bacon,1,4,6,2.0879120879
Bacon,1,4,7,1.4615384615
Bacon,1,5,1,20.5714285714
Bacon,1,5,2,18.4835164835
Bacon,1,5,3,10.1098901099
Bacon,1,5,4,5.5164835165
Bacon,1,5,5,13.8901098901
Bacon,1,5,6,6.0989010989
Bacon,1,5,7,3.3296703297
Bacon,1,6,1,9.2307692308
Bacon,1,6,2,7.4945054945
Bacon,1,6,3,4.0659340659
Bacon,1,6,4,2.0879120879
Bacon,1,6,5,6.0989010989
Bacon,1,6,6,2.7692307692
Bacon,1,6,7,1.2527472527
Bacon,1,7,1,4.7802197802
Bacon,1,7,2,4.1428571429
Bacon,1,7,3,2.3296703297
Bacon,1,7,4,1.4615384615
Bacon,1,7,5,3.3296703297
Bacon,1,7,6,1.2527472527
Bacon,1,7,7,0.7032967033
Barista_Milk,0,1,1,6.0186915888
Barista_Milk,0,1,2,10.046728972
Barista_Milk,0,1,3,7.2429906542
Barista_Milk,0,1,4,4.1401869159
Barista_Milk,0,1,5,12.0373831776
Barista_Milk,0,1,6,9.3551401869
Barista_Milk,0,1,7,4.1588785047
Barista_Milk,0,2,1,10.046728972
Barista_Milk,0,2,2,15.7757009346
Barista_Milk,0,2,3,11.9813084112
Barista_Milk,0,2,4,7.2242990654
Barista_Milk,0,2,5,19.8878504673
Barista_Milk,0,2,6,16.5607476636
Barista_Milk,0,2,7,8.523364486
Barista_Milk,0,3,1,7.2429906542
Barista_Milk,0,3,2,11.9813084112
Barista_Milk,0,3,3,8.0934579439
Barista_Milk,0,3,4,5.3644859813
Barista_Milk,0,3,5,14.6822429907
Barista_Milk,0,3,6,12.2429906542
Barista_Milk,0,3,7,6.3925233645
Barista_Milk,0,4,1,4.1401869159
Barista_Milk,0,4,2,7.2242990654
Barista_Milk,0,4,3,5.3644859813
Barista_Milk,0,4,4,3.214953271
Barista_Milk,0,4,5,9.6074766355
Barista_Milk,0,4,6,8.4392523364
Barista_Milk,0,4,7,5.0093457944
Barista_Milk,0,5,1,12.0373831776
Barista_Milk,0,5,2,19.8878504673
Barista_Milk,0,5,3,14.6822429907
Barista_Milk,0,5,4,9.6074766355
Barista_Milk,0,5,5,26.9906542056
Barista_Milk,0,5,6,23.8411214953
Barista_Milk,0,5,7,13.953271028
Barista_Milk,0,6,1,9.3551401869
Barista_Milk,0,6,2,16.5607476636
Barista_Milk,0,6,3,12.2429906542
Barista_Milk,0,6,4,8.4392523364
Barista_Milk,0,6,5,23.8411214953
Barista_Milk,0,6,6,20.5981308411
Barista_Milk,0,6,7,13.9626168224
Barista_Milk,0,7,1,4.1588785047
Barista_Milk,0,7,2,8.523364486
Barista_Milk,0,7,3,6.3925233645
Barista_Milk,0,7,4,5.0093457944
Barista_Milk,0,7,5,13.953271028
Barista_Milk,0,7,6,13.9626168224
Barista_Milk,0,7,7,10.0
Barista_Milk,1,1,1,3.0196078431
Barista_Milk,1,1,2,6.4803921569
Barista_Milk,1,1,3,5.6470588235
Barista_Milk,1,1,4,2.0
Barista_Milk,1,1,5,5.1470588235
Barista_Milk,1,1,6,5.0294117647
Barista_Milk,1,1,7,2.6764705882
Barista_Milk,1,2,1,6.4803921569
Barista_Milk,1,2,2,13.0784313725
Barista_Milk,1,2,3,12.5784313725
Barista_Milk,1,2,4,4.5490196078
Barista_Milk,1,2,5,13.0490196078
Barista_Milk,1,2,6,13.6176470588
Barista_Milk,1,2,7,6.6470588235
Barista_Milk,1,3,1,5.6470588235
Barista_Milk,1,3,2,12.5784313725
Barista_Milk,1,3,3,14.9215686275
Barista_Milk,1,3,4,5.8235294118
Barista_Milk,1,3,5,19.1274509804
Barista_Milk,1,3,6,19.3039215686
Barista_Milk,1,3,7,10.5980392157
Barista_Milk,1,4,1,2.0
Barista_Milk,1,4,2,4.5490196078
Barista_Milk,1,4,3,5.8235294118
Barista_Milk,1,4,4,1.9019607843
Barista_Milk,1,4,5,7.2450980392
Barista_Milk,1,4,6,7.3725490196
Barista_Milk,1,4,7,4.1078431373
Barista_Milk,1,5,1,5.1470588235
Barista_Milk,1,5,2,13.0490196078
Barista_Milk,1,5,3,19.1274509804
Barista_Milk,1,5,4,7.2450980392
Barista_Milk,1,5,5,26.1568627451
Barista_Milk,1,5,6,27.1666666667
Barista_Milk,1,5,7,16.1078431373
Barista_Milk,1,6,1,5.0294117647
Barista_Milk,1,6,2,13.6176470588
Barista_Milk,1,6,3,19.3039215686
Barista_Milk,1,6,4,7.3725490196
Barista_Milk,1,6,5,27.1666666667
Barista_Milk,1,6,6,27.2549019608
Barista_Milk,1,6,7,15.2549019608
Barista_Milk,1,7,1,2.6764705882
Barista_Milk,1,7,2,6.6470588235
Barista_Milk,1,7,3,10.5980392157
Barista_Milk,1,7,4,4.1078431373
Barista_Milk,1,7,5,16.1078431373
Barista_Milk,1,7,6,15.2549019608
Barista_Milk,1,7,7,9.6078431373
Bratwurst,0,1,1,13.8666666667
Bratwurst,0,1,2,16.980952381
Bratwurst,0,1,3,9.2952380952
Bratwurst,0,1,4,5.3523809524
Bratwurst,0,1,5,12.9142857143
Bratwurst,0,1,6,6.8380952381
Bratwurst,0,1,7,3.7523809524
Bratwurst,0,2,1,16.980952381
Bratwurst,0,2,2,20.2285714286
Bratwurst,0,2,3,12.0571428571
Bratwurst,0,2,4,7.4095238095
Bratwurst,0,2,5,18.3142857143
Bratwurst,0,2,6,9.780952381
Bratwurst,0,2,7,5.2285714286
Bratwurst,0,3,1,9.2952380952
Bratwurst,0,3,2,12.0571428571
Bratwurst,0,3,3,7.3904761905
Bratwurst,0,3,4,4.9047619048
Bratwurst,0,3,5,12.7142857143
Bratwurst,0,3,6,7.0952380952
Bratwurst,0,3,7,3.5428571429
Bratwurst,0,4,1,5.3523809524
Bratwurst,0,4,2,7.4095238095
Bratwurst,0,4,3,4.9047619048
Bratwurst,0,4,4,3.2
Bratwurst,0,4,5,8.980952381
Bratwurst,0,4,6,4.7523809524
Bratwurst,0,4,7,2.4
Bratwurst,0,5,1,12.9142857143
Bratwurst,0,5,2,18.3142857143
Bratwurst,0,5,3,12.7142857143
Bratwurst,0,5,4,8.980952381
Bratwurst,0,5,5,22.2857142857
Bratwurst,0,5,6,12.5714285714
Bratwurst,0,5,7,6.219047619
Bratwurst,0,6,1,6.8380952381
Bratwurst,0,6,2,9.780952381
Bratwurst,0,6,3,7.0952380952
Bratwurst,0,6,4,4.7523809524
Bratwurst,0,6,5,12.5714285714
Bratwurst,0,6,6,6.5523809524
Bratwurst,0,6,7,3.4095238095
Bratwurst,0,7,1,3.7523809524
Bratwurst,0,7,2,5.2285714286
Bratwurst,0,7,3,3.5428571429
Bratwurst,0,7,4,2.4
Bratwurst,0,7,5,6.219047619
Bratwurst,0,7,6,3.4095238095
Bratwurst,0,7,7,1.4476190476
Bratwurst,1,1,1,28.3469387755
Bratwurst,1,1,2,25.5
Bratwurst,1,1,3,18.8163265306
Bratwurst,1,1,4,8.4489795918
Bratwurst,1,1,5,18.612244898
Bratwurst,1,1,6,6.9693877551
Bratwurst,1,1,7,2.306122449
Bratwurst,1,2,1,25.5
Bratwurst,1,2,2,23.5714285714
Bratwurst,1,2,3,19.7040816327
Bratwurst,1,2,4,9.9897959184
Bratwurst,1,2,5,20.7551020408
Bratwurst,1,2,6,6.806122449
Bratwurst,1,2,7,2.6734693878
Bratwurst,1,3,1,18.8163265306
Bratwurst,1,3,2,19.7040816327
Bratwurst,1,3,3,16.1836734694
Bratwurst,1,3,4,8.8979591837
Bratwurst,1,3,5,18.0612244898
Bratwurst,1,3,6,5.7346938776
Bratwurst,1,3,7,2.6020408163
Bratwurst,1,4,1,8.4489795918
Bratwurst,1,4,2,9.9897959184
Bratwurst,1,4,3,8.8979591837
Bratwurst,1,4,4,4.9795918367
Bratwurst,1,4,5,10.4081632653
Bratwurst,1,4,6,2.8775510204
Bratwurst,1,4,7,1.3979591837
Bratwurst,1,5,1,18.612244898
Bratwurst,1,5,2,20.7551020408
Bratwurst,1,5,3,18.0612244898
Bratwurst,1,5,4,10.4081632653
Bratwurst,1,5,5,19.4285714286
Bratwurst,1,5,6,5.9591836735
Bratwurst,1,5,7,2.7755102041
Bratwurst,1,6,1,6.9693877551
Bratwurst,1,6,2,6.806122449
Bratwurst,1,6,3,5.7346938776
Bratwurst,1,6,4,2.8775510204
Bratwurst,1,6,5,5.9591836735
Bratwurst,1,6,6,1.7551020408
Bratwurst,1,6,7,0.8979591837
Bratwurst,1,7,1,2.306122449
Bratwurst,1,7,2,2.6734693878
Bratwurst,1,7,3,2.6020408163
Bratwurst,1,7,4,1.3979591837
Bratwurst,1,7,5,2.7755102041
Bratwurst,1,7,6,0.8979591837
Bratwurst,1,7,7,0.3469387755
Breaded_Chicken_Filet,0,1,1,11.5324675325
Breaded_Chicken_Filet,0,1,2,12.4675324675
Breaded_Chicken_Filet,0,1,3,12.1688311688
Breaded_Chicken_Filet,0,1,4,5.9350649351
Breaded_Chicken_Filet,0,1,5,15.8701298701
Breaded_Chicken_Filet,0,1,6,5.7142857143
Breaded_Chicken_Filet,0,1,7,3.3116883117
Breaded_Chicken_Filet,0,2,1,12.4675324675
Breaded_Chicken_Filet,0,2,2,12.1818181818
Breaded_Chicken_Filet,0,2,3,12.7272727273
Breaded_Chicken_Filet,0,2,4,6.3116883117
Breaded_Chicken_Filet,0,2,5,16.3766233766
Breaded_Chicken_Filet,0,2,6,6.0779220779
Breaded_Chicken_Filet,0,2,7,3.8571428571
Breaded_Chicken_Filet,0,3,1,12.1688311688
Breaded_Chicken_Filet,0,3,2,12.7272727273
Breaded_Chicken_Filet,0,3,3,13.1688311688
Breaded_Chicken_Filet,0,3,4,6.7402597403
Breaded_Chicken_Filet,0,3,5,17.1558441558
Breaded_Chicken_Filet,0,3,6,6.2207792208
Breaded_Chicken_Filet,0,3,7,3.8181818182
Breaded_Chicken_Filet,0,4,1,5.9350649351
Breaded_Chicken_Filet,0,4,2,6.3116883117
Breaded_Chicken_Filet,0,4,3,6.7402597403
Breaded_Chicken_Filet,0,4,4,3.4545454545
Breaded_Chicken_Filet,0,4,5,8.6103896104
Breaded_Chicken_Filet,0,4,6,2.8831168831
Breaded_Chicken_Filet,0,4,7,2.0649350649
Breaded_Chicken_Filet,0,5,1,15.8701298701
Breaded_Chicken_Filet,0,5,2,16.3766233766
Breaded_Chicken_Filet,0,5,3,17.1558441558
Breaded_Chicken_Filet,0,5,4,8.6103896104
Breaded_Chicken_Filet,0,5,5,20.4675324675
Breaded_Chicken_Filet,0,5,6,7.7142857143
Breaded_Chicken_Filet,0,5,7,4.8051948052
Breaded_Chicken_Filet,0,6,1,5.7142857143
Breaded_Chicken_Filet,0,6,2,6.0779220779
Breaded_Chicken_Filet,0,6,3,6.2207792208
Breaded_Chicken_Filet,0,6,4,2.8831168831
Breaded_Chicken_Filet,0,6,5,7.7142857143
Breaded_Chicken_Filet,0,6,6,2.5194805195
Breaded_Chicken_Filet,0,6,7,1.8701298701
Breaded_Chicken_Filet,0,7,1,3.3116883117
Breaded_Chicken_Filet,0,7,2,3.8571428571
Breaded_Chicken_Filet,0,7,3,3.8181818182
Breaded_Chicken_Filet,0,7,4,2.0649350649
Breaded_Chicken_Filet,0,7,5,4.8051948052
Breaded_Chicken_Filet,0,7,6,1.8701298701
Breaded_Chicken_Filet,0,7,7,1.2727272727
Breakfast_Sausages,0,1,1,17.6056338028
Breakfast_Sausages,0,1,2,14.7605633803
Breakfast_Sausages,0,1,3,11.2676056338
Breakfast_Sausages,0,1,5,14.8450704225
Breakfast_Sausages,0,1,6,10.1408450704
Breakfast_Sausages,0,1,7,5.3802816901
Breakfast_Sausages,0,2,1,14.7605633803
Breakfast_Sausages,0,2,2,15.9718309859
Breakfast_Sausages,0,2,3,11.8450704225
Breakfast_Sausages,0,2,5,15.1549295775
Breakfast_Sausages,0,2,6,12.323943662
Breakfast_Sausages,0,2,7,5.9436619718
Breakfast_Sausages,0,3,1,11.2676056338
Breakfast_Sausages,0,3,2,11.8450704225
Breakfast_Sausages,0,3,3,8.5352112676
Breakfast_Sausages,0,3,5,10.7183098592
Breakfast_Sausages,0,3,6,9.5492957746
Breakfast_Sausages,0,3,7,4.0845070423
Breakfast_Sausages,0,5,1,14.8450704225
Breakfast_Sausages,0,5,2,15.1549295775
Breakfast_Sausages,0,5,3,10.7183098592
Breakfast_Sausages,0,5,5,13.1830985915
Breakfast_Sausages,0,5,6,10.7605633803
Breakfast_Sausages,0,5,7,5.338028169
Breakfast_Sausages,0,6,1,10.1408450704
Breakfast_Sausages,0,6,2,12.323943662
Breakfast_Sausages,0,6,3,9.5492957746
Breakfast_Sausages,0,6,5,10.7605633803
Breakfast_Sausages,0,6,6,9.8309859155
Breakfast_Sausages,0,6,7,4.3943661972
Breakfast_Sausages,0,7,1,5.3802816901
Breakfast_Sausages,0,7,2,5.9436619718
Breakfast_Sausages,0,7,3,4.0845070423
Breakfast_Sausages,0,7,5,5.338028169
Breakfast_Sausages,0,7,6,4.3943661972
Breakfast_Sausages,0,7,7,1.8591549296
Breakfast_Sausages,1,1,1,14.7843137255
Breakfast_Sausages,1,1,2,13.6666666667
Breakfast_Sausages,1,1,3,12.8235294118
Breakfast_Sausages,1,1,5,11.5294117647
Breakfast_Sausages,1,1,6,4.1764705882
Breakfast_Sausages,1,1,7,3.0196078431
Breakfast_Sausages,1,2,1,13.6666666667
Breakfast_Sausages,1,2,2,12.2352941176
Breakfast_Sausages,1,2,3,12.4117647059
Breakfast_Sausages,1,2,5,12.0196078431
Breakfast_Sausages,1,2,6,4.3137254902
Breakfast_Sausages,1,2,7,3.3529411765
Breakfast_Sausages,1,3,1,12.8235294118
Breakfast_Sausages,1,3,2,12.4117647059
Breakfast_Sausages,1,3,3,12.0784313725
Breakfast_Sausages,1,3,5,11.0
Breakfast_Sausages,1,3,6,4.137254902
Breakfast_Sausages,1,3,7,3.5490196078
Breakfast_Sausages,1,5,1,11.5294117647
Breakfast_Sausages,1,5,2,12.0196078431
Breakfast_Sausages,1,5,3,11.0
Breakfast_Sausages,1,5,5,10.3921568627
Breakfast_Sausages,1,5,6,4.0392156863
Breakfast_Sausages,1,5,7,3.0196078431
Breakfast_Sausages,1,6,1,4.1764705882
Breakfast_Sausages,1,6,2,4.3137254902
Breakfast_Sausages,1,6,3,4.137254902
Breakfast_Sausages,1,6,5,4.0392156863
Breakfast_Sausages,1,6,6,1.137254902
Breakfast_Sausages,1,6,7,1.1960784314
Breakfast_Sausages,1,7,1,3.0196078431
Breakfast_Sausages,1,7,2,3.3529411765
Breakfast_Sausages,1,7,3,3.5490196078
Breakfast_Sausages,1,7,5,3.0196078431
Breakfast_Sausages,1,7,6,1.1960784314
Breakfast_Sausages,1,7,7,0.862745098
Burgers,0,1,1,7.4285714286
Burgers,0,1,2,12.1696428571
Burgers,0,1,3,9.4375
Burgers,0,1,4,6.1964285714
Burgers,0,1,5,16.4285714286
Burgers,0,1,6,8.875
Burgers,0,1,7,2.4642857143
Burgers,0,2,1,12.1696428571
Burgers,0,2,2,19.9107142857
Burgers,0,2,3,15.875
Burgers,0,2,4,9.7232142857
Burgers,0,2,5,27.1071428571
Burgers,0,2,6,14.9910714286
Burgers,0,2,7,4.2232142857
Burgers,0,3,1,9.4375
Burgers,0,3,2,15.875
Burgers,0,3,3,13.1428571429
Burgers,0,3,4,8.6607142857
Burgers,0,3,5,22.8035714286
Burgers,0,3,6,12.0446428571
Burgers,0,3,7,4.0357142857
Burgers,0,4,1,6.1964285714
Burgers,0,4,2,9.7232142857
Burgers,0,4,3,8.6607142857
Burgers,0,4,4,5.2142857143
Burgers,0,4,5,13.5535714286
Burgers,0,4,6,7.1875
Burgers,0,4,7,2.4642857143
Burgers,0,5,1,16.4285714286
Burgers,0,5,2,27.1071428571
Burgers,0,5,3,22.8035714286
Burgers,0,5,4,13.5535714286
Burgers,0,5,5,44.4464285714
Burgers,0,5,6,22.4464285714
Burgers,0,5,7,7.2142857143
Burgers,0,6,1,8.875
Burgers,0,6,2,14.9910714286
Burgers,0,6,3,12.0446428571
Burgers,0,6,4,7.1875
Burgers,0,6,5,22.4464285714
Burgers,0,6,6,11.0178571429
Burgers,0,6,7,3.4375
Burgers,0,7,1,2.4642857143
Burgers,0,7,2,4.2232142857
Burgers,0,7,3,4.0357142857
Burgers,0,7,4,2.4642857143
Burgers,0,7,5,7.2142857143
Burgers,0,7,6,3.4375
Burgers,0,7,7,1.1607142857
Burgers,1,1,1,24.7126436782
Burgers,1,1,2,25.4137931034
Burgers,1,1,3,14.3218390805
Burgers,1,1,4,5.5057471264
Burgers,1,1,5,11.6551724138
Burgers,1,1,6,6.7471264368
Burgers,1,1,7,2.6436781609
Burgers,1,2,1,25.4137931034
Burgers,1,2,2,27.0114942529
Burgers,1,2,3,16.9195402299
Burgers,1,2,4,7.2413793103
Burgers,1,2,5,16.091954023
Burgers,1,2,6,9.7126436782
Burgers,1,2,7,3.6091954023
Burgers,1,3,1,14.3218390805
Burgers,1,3,2,16.9195402299
Burgers,1,3,3,11.0114942529
Burgers,1,3,4,5.7586206897
Burgers,1,3,5,11.9885057471
Burgers,1,3,6,8.4482758621
Burgers,1,3,7,2.5517241379
Burgers,1,4,1,5.5057471264
Burgers,1,4,2,7.2413793103
Burgers,1,4,3,5.7586206897
Burgers,1,4,4,2.7816091954
Burgers,1,4,5,6.0344827586
Burgers,1,4,6,4.4942528736
Burgers,1,4,7,1.183908046
Burgers,1,5,1,11.6551724138
Burgers,1,5,2,16.091954023
Burgers,1,5,3,11.9885057471
Burgers,1,5,4,6.0344827586
Burgers,1,5,5,13.6551724138
Burgers,1,5,6,10.4252873563
Burgers,1,5,7,3.1494252874
Burgers,1,6,1,6.7471264368
Burgers,1,6,2,9.7126436782
Burgers,1,6,3,8.4482758621
Burgers,1,6,4,4.4942528736
Burgers,1,6,5,10.4252873563
Burgers,1,6,6,7.8850574713
Burgers,1,6,7,2.2873563218
Burgers,1,7,1,2.6436781609
Burgers,1,7,2,3.6091954023
Burgers,1,7,3,2.5517241379
Burgers,1,7,4,1.183908046
Burgers,1,7,5,3.1494252874
Burgers,1,7,6,2.2873563218
Burgers,1,7,7,0.5747126437
Butter,0,1,1,3.2079207921
Butter,0,1,2,3.4752475248
Butter,0,1,3,6.504950495
Butter,0,1,4,2.297029703
Butter,0,1,5,7.4752475248
Butter,0,1,6,5.7425742574
Butter,0,1,7,4.297029703
Butter,0,2,1,3.4752475248
Butter,0,2,2,4.396039604
Butter,0,2,3,7.5148514851
Butter,0,2,4,3.1881188119
Butter,0,2,5,10.0792079208
Butter,0,2,6,7.8712871287
Butter,0,2,7,6.4752475248
Butter,0,3,1,6.504950495
Butter,0,3,2,7.5148514851
Butter,0,3,3,12.5544554455
Butter,0,3,4,5.3861386139
Butter,0,3,5,17.5247524752
Butter,0,3,6,13.9306930693
Butter,0,3,7,11.5841584158
Butter,0,4,1,2.297029703
Butter,0,4,2,3.1881188119
Butter,0,4,3,5.3861386139
Butter,0,4,4,2.2574257426
Butter,0,4,5,8.5544554455
Butter,0,4,6,7.4257425743
Butter,0,4,7,6.8910891089
Butter,0,5,1,7.4752475248
Butter,0,5,2,10.0792079208
Butter,0,5,3,17.5247524752
Butter,0,5,4,8.5544554455
Butter,0,5,5,27.1287128713
Butter,0,5,6,24.9702970297
Butter,0,5,7,23.2673267327
Butter,0,6,1,5.7425742574
Butter,0,6,2,7.8712871287
Butter,0,6,3,13.9306930693
Butter,0,6,4,7.4257425743
Butter,0,6,5,24.9702970297
Butter,0,6,6,22.9306930693
Butter,0,6,7,23.1287128713
Butter,0,7,1,4.297029703
Butter,0,7,2,6.4752475248
Butter,0,7,3,11.5841584158
Butter,0,7,4,6.8910891089
Butter,0,7,5,23.2673267327
Butter,0,7,6,23.1287128713
Butter,0,7,7,22.3564356436
Butter,1,1,1,3.08
Butter,1,1,2,4.32
Butter,1,1,3,6.46
Butter,1,1,4,1.95
Butter,1,1,5,7.35
Butter,1,1,6,6.09
Butter,1,1,7,3.75
Butter,1,2,1,4.32
Butter,1,2,2,9.02
Butter,1,2,3,11.44
Butter,1,2,4,5.18
Butter,1,2,5,14.86
Butter,1,2,6,12.72
Butter,1,2,7,9.46
Butter,1,3,1,6.46
Butter,1,3,2,11.44
Butter,1,3,3,15.44
Butter,1,3,4,5.65
Butter,1,3,5,18.09
Butter,1,3,6,16.28
Butter,1,3,7,11.64
Butter,1,4,1,1.95
Butter,1,4,2,5.18
Butter,1,4,3,5.65
Butter,1,4,4,2.52
Butter,1,4,5,7.83
Butter,1,4,6,6.71
Butter,1,4,7,5.16
Butter,1,5,1,7.35
Butter,1,5,2,14.86
Butter,1,5,3,18.09
Butter,1,5,4,7.83
Butter,1,5,5,23.54
Butter,1,5,6,22.27
Butter,1,5,7,16.06
Butter,1,6,1,6.09
Butter,1,6,2,12.72
Butter,1,6,3,16.28
Butter,1,6,4,6.71
Butter,1,6,5,22.27
Butter,1,6,6,20.96
Butter,1,6,7,15.97
Butter,1,7,1,3.75
Butter,1,7,2,9.46
Butter,1,7,3,11.64
Butter,1,7,4,5.16
Butter,1,7,5,16.06
Butter,1,7,6,15.97
Butter,1,7,7,11.96
Cheddar_Cheese,0,1,1,3.067961165
Cheddar_Cheese,0,1,2,4.2038834951
Cheddar_Cheese,0,1,3,4.2427184466
Cheddar_Cheese,0,1,4,1.6796116505
Cheddar_Cheese,0,1,5,6.5631067961
Cheddar_Cheese,0,1,6,4.8349514563
Cheddar_Cheese,0,1,7,4.4077669903
Cheddar_Cheese,0,2,1,4.2038834951
Cheddar_Cheese,0,2,2,5.3786407767
Cheddar_Cheese,0,2,3,6.0
Cheddar_Cheese,0,2,4,2.5242718447
Cheddar_Cheese,0,2,5,9.3203883495
Cheddar_Cheese,0,2,6,6.7281553398
Cheddar_Cheese,0,2,7,5.8446601942
Cheddar_Cheese,0,3,1,4.2427184466
Cheddar_Cheese,0,3,2,6.0
Cheddar_Cheese,0,3,3,6.4466019417
Cheddar_Cheese,0,3,4,3.0291262136
Cheddar_Cheese,0,3,5,11.2038834951
Cheddar_Cheese,0,3,6,7.7572815534
Cheddar_Cheese,0,3,7,7.3203883495
Cheddar_Cheese,0,4,1,1.6796116505
Cheddar_Cheese,0,4,2,2.5242718447
Cheddar_Cheese,0,4,3,3.0291262136
Cheddar_Cheese,0,4,4,1.1844660194
Cheddar_Cheese,0,4,5,4.9902912621
Cheddar_Cheese,0,4,6,3.3883495146
Cheddar_Cheese,0,4,7,3.2038834951
Cheddar_Cheese,0,5,1,6.5631067961
Cheddar_Cheese,0,5,2,9.3203883495
Cheddar_Cheese,0,5,3,11.2038834951
Cheddar_Cheese,0,5,4,4.9902912621
Cheddar_Cheese,0,5,5,17.8446601942
Cheddar_Cheese,0,5,6,12.6504854369
Cheddar_Cheese,0,5,7,12.427184466
Cheddar_Cheese,0,6,1,4.8349514563
Cheddar_Cheese,0,6,2,6.7281553398
Cheddar_Cheese,0,6,3,7.7572815534
Cheddar_Cheese,0,6,4,3.3883495146
Cheddar_Cheese,0,6,5,12.6504854369
Cheddar_Cheese,0,6,6,8.2524271845
Cheddar_Cheese,0,6,7,8.3883495146
Cheddar_Cheese,0,7,1,4.4077669903
Cheddar_Cheese,0,7,2,5.8446601942
Cheddar_Cheese,0,7,3,7.3203883495
Cheddar_Cheese,0,7,4,3.2038834951
Cheddar_Cheese,0,7,5,12.427184466
Cheddar_Cheese,0,7,6,8.3883495146
Cheddar_Cheese,0,7,7,8.4077669903
Cheddar_Cheese,1,1,1,0.8235294118
Cheddar_Cheese,1,1,2,1.3921568627
Cheddar_Cheese,1,1,3,2.2254901961
Cheddar_Cheese,1,1,4,1.3725490196
Cheddar_Cheese,1,1,5,3.1176470588
Cheddar_Cheese,1,1,6,3.362745098
Cheddar_Cheese,1,1,7,2.7058823529
Cheddar_Cheese,1,2,1,1.3921568627
Cheddar_Cheese,1,2,2,2.5294117647
Cheddar_Cheese,1,2,3,4.8725490196
Cheddar_Cheese,1,2,4,2.7843137255
Cheddar_Cheese,1,2,5,8.3235294118
Cheddar_Cheese,1,2,6,9.4607843137
Cheddar_Cheese,1,2,7,6.637254902
Cheddar_Cheese,1,3,1,2.2254901961
Cheddar_Cheese,1,3,2,4.8725490196
Cheddar_Cheese,1,3,3,8.0980392157
Cheddar_Cheese,1,3,4,5.0294117647
Cheddar_Cheese,1,3,5,14.5882352941
Cheddar_Cheese,1,3,6,17.3235294118
Cheddar_Cheese,1,3,7,11.862745098
Cheddar_Cheese,1,4,1,1.3725490196
Cheddar_Cheese,1,4,2,2.7843137255
Cheddar_Cheese,1,4,3,5.0294117647
Cheddar_Cheese,1,4,4,2.8235294118
Cheddar_Cheese,1,4,5,8.5
Cheddar_Cheese,1,4,6,10.4215686275
Cheddar_Cheese,1,4,7,7.068627451
Cheddar_Cheese,1,5,1,3.1176470588
Cheddar_Cheese,1,5,2,8.3235294118
Cheddar_Cheese,1,5,3,14.5882352941
Cheddar_Cheese,1,5,4,8.5
Cheddar_Cheese,1,5,5,28.4117647059
