iteration,split_half_pairwise_agreement
180,0.83248731
181,0.85279188
182,0.82360406
183,0.82741117
184,0.81472081
185,0.8071066
186,0.83883249
187,0.82233503
188,0.83121827
189,0.8248731
190,0.80456853
191,0.83375635
192,0.81345178
193,0.83756345
194,0.81979695
195,0.84517766
196,0.80837563
197,0.81091371
198,0.81725888
199,0.82994924
200,0.84010152
201,0.81598985
202,0.81598985
203,0.80456853
204,0.83756345
205,0.8286802
206,0.81852792
207,0.83248731
208,0.80837563
209,0.81852792
210,0.81598985
211,0.8464467
212,0.8248731
213,0.8071066
214,0.82233503
215,0.83629442
216,0.81598985
217,0.80203046
218,0.83883249
219,0.80329949
220,0.82106599
221,0.82233503
222,0.81472081
223,0.80583756
224,0.80964467
225,0.84390863
226,0.83248731
227,0.82233503
228,0.85025381
229,0.80964467
230,0.84517766
231,0.83756345
232,0.84137056
233,0.84010152
234,0.82106599
235,0.84010152
236,0.80964467
237,0.8286802
238,0.8286802
239,0.8248731
240,0.82233503
241,0.84137056
242,0.81218274
243,0.8248731
244,0.84137056
245,0.81979695
246,0.81345178
247,0.80456853
248,0.83756345
249,0.81472081
250,0.83883249
251,0.85025381
252,0.83756345
253,0.82233503
254,0.81472081
255,0.81472081
256,0.84137056
257,0.82614213
258,0.82994924
259,0.81852792
260,0.83248731
261,0.81598985
262,0.82741117
263,0.81218274
264,0.84010152
265,0.83629442
266,0.83248731
267,0.81345178
268,0.81218274
269,0.8464467
270,0.83121827
271,0.81345178
272,0.80076142
273,0.84771574
274,0.80076142
275,0.85152284
276,0.8248731
277,0.82994924
278,0.81979695
279,0.84898477
280,0.83375635
281,0.80076142
282,0.8464467
283,0.79949239
284,0.8464467
285,0.82741117
286,0.83883249
287,0.81852792
288,0.82741117
289,0.82994924
290,0.81852792
291,0.81979695
292,0.8248731
293,0.81979695
294,0.82233503
295,0.85532995
296,0.80076142
297,0.83756345
298,0.85279188
299,0.84263959
300,0.81725888
301,0.82233503
302,0.83883249
303,0.84137056
304,0.81725888
305,0.82614213
306,0.84517766
307,0.8248731
308,0.83121827
309,0.80456853
310,0.8286802
311,0.85279188
312,0.83502538
313,0.83883249
314,0.8248731
315,0.83629442
316,0.8286802
317,0.81091371
318,0.82994924
319,0.80837563
320,0.8248731
321,0.81598985
322,0.80964467
323,0.81472081
324,0.83121827
325,0.8248731
326,0.84137056
327,0.82106599
328,0.83375635
329,0.81852792
330,0.82106599
331,0.82233503
332,0.8248731
333,0.8248731
334,0.81345178
335,0.82106599
336,0.8248731
337,0.81218274
338,0.83248731
339,0.85152284
340,0.81725888
341,0.82614213
342,0.83756345
343,0.83756345
344,0.81979695
345,0.8248731
346,0.79949239
347,0.8248731
348,0.84263959
349,0.83756345
350,0.84517766
351,0.82233503
352,0.82360406
353,0.81852792
354,0.81852792
355,0.81345178
356,0.80837563
357,0.81345178
358,0.8464467
359,0.79695431
360,0.81472081
361,0.84517766
362,0.82106599
363,0.83629442
364,0.81598985
365,0.82360406
366,0.82994924
367,0.81852792
368,0.84137056
369,0.82106599
370,0.83629442
371,0.82614213
372,0.81852792
373,0.84263959
374,0.81979695
375,0.81091371
376,0.81091371
377,0.81979695
378,0.81979695
379,0.8071066
380,0.84010152
381,0.81725888
382,0.85279188
383,0.8071066
384,0.84263959
385,0.83756345
386,0.81852792
387,0.8286802
388,0.81472081
389,0.80964467
390,0.86294416
391,0.84517766
392,0.83502538
393,0.8248731
394,0.85279188
395,0.84390863
396,0.80837563
397,0.79314721
398,0.80583756
399,0.84517766
400,0.82106599
401,0.84390863
402,0.83248731
403,0.80456853
404,0.82360406
405,0.81979695
406,0.82106599
407,0.82106599
408,0.82614213
409,0.83883249
410,0.85152284
411,0.84263959
412,0.83375635
413,0.82233503
414,0.84263959
415,0.82233503
416,0.8286802
417,0.82106599
418,0.85913706
419,0.80837563
420,0.81725888
421,0.82741117
422,0.8071066
423,0.82741117
424,0.82994924
425,0.82106599
426,0.86294416
427,0.81725888
428,0.81725888
429,0.81852792
430,0.83883249
431,0.82106599
432,0.81979695
433,0.80456853
434,0.81725888
435,0.8248731
436,0.83883249
437,0.82233503
438,0.81852792
439,0.82614213
440,0.84137056
441,0.82360406
442,0.7893401
443,0.82360406
444,0.82360406
445,0.82233503
446,0.82741117
447,0.82233503
448,0.82994924
449,0.83629442
450,0.83883249
451,0.82106599
452,0.82360406
453,0.83248731
454,0.80456853
455,0.81725888
456,0.82741117
457,0.83121827
458,0.84771574
459,0.83883249
460,0.81979695
461,0.82360406
462,0.83375635
463,0.84898477
464,0.84010152
465,0.80076142
466,0.81979695
467,0.83629442
468,0.82360406
469,0.81472081
470,0.80837563
471,0.84137056
472,0.81852792
473,0.84263959
474,0.83121827
475,0.82614213
476,0.78807107
477,0.81979695
478,0.83248731
479,0.81725888
480,0.81852792
481,0.81598985
482,0.80076142
483,0.84263959
484,0.81472081
485,0.81091371
486,0.80456853
487,0.83248731
488,0.82106599
489,0.8248731
490,0.84390863
491,0.85913706
492,0.80964467
493,0.81345178
494,0.84010152
495,0.81345178
496,0.81852792
497,0.82614213
498,0.80329949
499,0.81091371
500,0.81598985
501,0.81472081
502,0.83502538
503,0.80964467
504,0.80076142
505,0.81598985
506,0.82994924
507,0.80837563
508,0.82614213
509,0.80583756
510,0.79568528
511,0.80964467
512,0.81472081
513,0.83502538
514,0.83629442
515,0.83629442
516,0.83375635
517,0.82106599
518,0.84137056
519,0.83629442
520,0.82741117
521,0.81091371
522,0.81979695
523,0.83121827
524,0.81218274
525,0.82741117
526,0.80964467
527,0.78680203
528,0.83883249
529,0.83248731
530,0.85025381
531,0.79187817
532,0.81979695
533,0.81091371
534,0.81345178
535,0.81218274
536,0.81345178
537,0.82233503
538,0.83502538
539,0.82106599
540,0.80837563
541,0.81218274
542,0.84517766
543,0.82233503
544,0.83121827
545,0.81472081
546,0.81852792
547,0.82106599
548,0.81979695
549,0.8248731
550,0.81725888
551,0.82106599
552,0.78807107
553,0.81852792
554,0.82233503
555,0.85786802
556,0.79187817
557,0.8464467
558,0.83121827
559,0.82994924
560,0.8248731
561,0.81091371
562,0.81218274
563,0.82994924
564,0.83883249
565,0.85786802
566,0.82360406
567,0.82360406
568,0.81091371
569,0.84771574
570,0.80329949
571,0.82741117
572,0.81979695
573,0.8286802
574,0.82106599
575,0.81725888
576,0.84898477
577,0.81091371
578,0.83121827
579,0.81852792
580,0.79314721
581,0.82741117
582,0.81852792
583,0.85152284
584,0.85406091
585,0.81979695
586,0.8286802
587,0.84137056
588,0.81218274
589,0.83121827
590,0.83629442
591,0.82106599
592,0.82741117
593,0.81852792
594,0.84010152
595,0.81725888
596,0.81091371
597,0.81852792
598,0.83121827
599,0.81852792
600,0.81598985
601,0.83248731
602,0.82741117
603,0.80076142
604,0.82741117
605,0.84010152
606,0.83883249
607,0.80583756
608,0.83375635
609,0.83248731
610,0.81979695
611,0.83883249
612,0.81725888
613,0.82233503
614,0.85279188
615,0.82614213
616,0.82106599
617,0.81472081
618,0.82106599
619,0.83883249
620,0.84898477
621,0.84137056
622,0.80583756
623,0.8286802
624,0.84137056
625,0.83502538
626,0.82994924
627,0.81979695
628,0.83121827
629,0.81852792
630,0.82994924
631,0.84898477
632,0.81979695
633,0.81472081
634,0.81598985
635,0.82614213
636,0.81091371
637,0.83248731
638,0.83375635
639,0.84137056
640,0.82233503
641,0.83629442
642,0.8248731
643,0.81725888
644,0.83502538
645,0.85786802
646,0.81725888
647,0.81598985
648,0.82106599
649,0.81725888
650,0.83629442
651,0.83629442
652,0.82614213
653,0.82233503
654,0.83248731
655,0.8286802
656,0.82614213
657,0.80076142
658,0.79060914
659,0.81852792
660,0.79695431
661,0.83248731
662,0.82106599
663,0.8248731
664,0.81979695
665,0.80964467
666,0.83248731
667,0.80964467
668,0.82233503
669,0.81598985
670,0.84517766
671,0.8248731
672,0.83121827
673,0.84137056
674,0.83629442
675,0.81091371
676,0.82614213
677,0.82233503
678,0.82741117
679,0.82233503
680,0.83502538
681,0.83629442
682,0.81345178
683,0.8248731
684,0.82614213
685,0.82106599
686,0.8286802
687,0.80964467
688,0.81218274
689,0.81472081
690,0.81472081
691,0.83121827
692,0.82233503
693,0.81979695
694,0.81472081
695,0.81598985
696,0.84898477
697,0.81091371
698,0.83248731
699,0.83375635
700,0.82614213
701,0.85279188
702,0.83121827
703,0.85279188
704,0.81852792
705,0.8248731
706,0.83121827
707,0.83375635
708,0.81472081
709,0.80076142
710,0.81979695
711,0.81725888
712,0.79060914
713,0.8248731
714,0.83375635
715,0.81598985
716,0.83121827
717,0.8286802
718,0.7893401
719,0.84010152
720,0.84010152
721,0.82360406
722,0.80203046
723,0.84010152
724,0.83375635
725,0.8248731
726,0.84263959
727,0.85406091
728,0.80964467
729,0.82994924
730,0.81091371
731,0.82614213
732,0.80964467
733,0.81598985
734,0.84390863
735,0.81852792
736,0.82741117
737,0.82360406
738,0.81725888
739,0.84010152
740,0.82741117
741,0.83629442
742,0.80964467
743,0.82614213
744,0.83502538
745,0.83248731
746,0.83375635
747,0.80203046
748,0.8248731
749,0.81472081
750,0.82233503
751,0.83121827
752,0.83883249
753,0.82994924
754,0.82741117
755,0.81598985
756,0.81091371
757,0.8286802
758,0.81598985
759,0.81218274
760,0.82741117
761,0.85913706
762,0.84137056
763,0.82741117
764,0.82233503
765,0.8286802
766,0.83121827
767,0.83121827
768,0.82106599
769,0.81598985
770,0.81218274
771,0.81218274
772,0.80964467
773,0.8248731
774,0.82106599
775,0.81472081
776,0.80583756
777,0.82360406
778,0.80203046
779,0.81472081
780,0.8248731
781,0.80456853
782,0.84517766
783,0.81218274
784,0.81472081
785,0.8248731
786,0.82233503
787,0.84010152
788,0.80203046
789,0.83375635
790,0.83375635
791,0.84898477
792,0.81472081
793,0.81979695
794,0.81091371
795,0.80583756
796,0.81345178
797,0.81725888
798,0.83502538
799,0.80456853
800,0.85279188
801,0.80837563
802,0.82106599
803,0.84517766
804,0.81472081
805,0.81472081
806,0.84898477
807,0.83121827
808,0.87309645
809,0.8248731
810,0.81852792
811,0.81091371
812,0.84010152
813,0.80964467
814,0.81598985
815,0.86040609
816,0.83502538
817,0.79822335
818,0.83629442
819,0.81091371
820,0.82360406
821,0.81852792
822,0.84771574
823,0.82360406
824,0.82106599
825,0.83629442
826,0.80964467
827,0.82233503
828,0.80203046
829,0.81218274
830,0.83375635
831,0.83375635
832,0.80203046
833,0.81979695
834,0.83883249
835,0.79314721
836,0.80837563
837,0.83883249
838,0.83502538
839,0.84390863
840,0.83756345
841,0.81979695
842,0.81725888
843,0.83375635
844,0.80329949
845,0.82106599
846,0.80964467
847,0.81852792
848,0.84517766
849,0.82741117
850,0.85279188
851,0.83629442
852,0.84010152
853,0.82106599
854,0.83248731
855,0.83248731
856,0.81979695
857,0.83121827
858,0.83248731
859,0.81852792
860,0.82614213
861,0.84137056
862,0.81218274
863,0.82360406
864,0.81472081
865,0.81472081
866,0.79568528
867,0.8071066
868,0.81725888
869,0.82614213
870,0.8286802
871,0.84263959
872,0.81979695
873,0.83502538
874,0.81091371
875,0.81472081
876,0.8286802
877,0.82741117
878,0.80837563
879,0.83756345
880,0.81091371
881,0.81852792
882,0.80964467
883,0.83375635
884,0.79314721
885,0.82233503
886,0.81472081
887,0.82233503
888,0.83248731
889,0.82994924
890,0.83629442
891,0.83248731
892,0.82360406
893,0.8286802
894,0.83756345
895,0.79187817
896,0.81725888
897,0.8248731
898,0.81852792
899,0.81091371
900,0.83248731
901,0.83248731
902,0.84517766
903,0.81598985
904,0.8286802
905,0.81472081
906,0.83629442
907,0.84137056
908,0.81852792
909,0.82994924
910,0.81218274
911,0.83502538
912,0.81598985
913,0.82741117
914,0.82106599
915,0.81598985
916,0.81979695
917,0.83756345
918,0.81598985
919,0.79568528
920,0.82233503
921,0.8071066
922,0.81979695
923,0.82741117
924,0.80964467
925,0.8286802
926,0.83375635
927,0.83756345
928,0.82614213
929,0.80964467
930,0.84390863
931,0.81091371
932,0.8286802
933,0.8286802
934,0.81725888
935,0.84263959
936,0.83756345
937,0.84898477
938,0.81979695
939,0.82233503
940,0.80076142
941,0.83121827
942,0.8248731
943,0.82614213
944,0.84010152
945,0.83502538
946,0.8286802
947,0.81725888
948,0.85279188
949,0.83375635
950,0.8286802
951,0.82741117
952,0.81979695
953,0.83121827
954,0.81979695
955,0.81852792
956,0.80456853
957,0.82741117
958,0.83883249
959,0.83375635
960,0.81598985
961,0.81852792
962,0.8286802
963,0.81598985
964,0.81852792
965,0.79441624
966,0.8286802
967,0.82106599
968,0.82994924
969,0.81598985
970,0.82233503
971,0.83375635
972,0.8286802
973,0.83883249
974,0.81725888
975,0.82233503
976,0.85025381
977,0.83756345
978,0.8248731
979,0.81979695
980,0.8464467
981,0.83248731
982,0.8286802
983,0.80964467
984,0.8464467
985,0.81345178
986,0.79695431
987,0.8248731
988,0.81472081
989,0.82233503
990,0.82106599
991,0.82994924
992,0.81345178
993,0.82614213
994,0.8248731
995,0.80837563
996,0.84137056
997,0.79187817
998,0.80964467
999,0.83121827
