test_id,pred_o,correct_o,pred_f,correct_f
1325,2,1.0,2,1.0
1326,2,1.0,2,1.0
1327,1,1.0,1,1.0
1328,1,0.0,1,0.0
1330,1,1.0,1,1.0
1332,2,1.0,2,1.0
1333,1,1.0,1,1.0
1354,2,1.0,2,1.0
1355,1,0.0,1,0.0
1356,2,1.0,2,1.0
1357,2,0.0,2,0.0
1359,2,1.0,2,1.0
1361,2,0.0,2,0.0
1362,1,0.0,1,0.0
1380,2,0.0,1,1.0
1381,1,1.0,1,1.0
1382,2,1.0,2,1.0
1384,2,1.0,2,1.0
1386,2,1.0,2,1.0
1387,2,0.0,1,1.0
1392,1,0.0,1,0.0
1393,1,0.0,1,0.0
1395,2,0.0,2,0.0
1397,1,0.0,2,1.0
1398,1,1.0,1,1.0
1403,1,0.0,1,0.0
1405,1,0.0,1,0.0
1407,1,1.0,1,1.0
1408,1,0.0,1,0.0
1414,2,0.0,2,0.0
1416,2,1.0,2,1.0
1417,2,1.0,2,1.0
1431,1,1.0,1,1.0
1432,2,0.0,2,0.0
1443,2,0.0,2,0.0
1498,2,0.0,2,0.0
1499,2,1.0,2,1.0
1500,1,0.0,1,0.0
1501,1,0.0,1,0.0
1506,2,1.0,2,1.0
1507,2,1.0,2,1.0
1510,2,1.0,2,1.0
1512,2,1.0,2,1.0
1513,1,1.0,1,1.0
1532,2,0.0,2,0.0
1533,2,1.0,2,1.0
1534,1,0.0,1,0.0
1539,2,0.0,2,0.0
1540,2,0.0,2,0.0
1543,1,0.0,1,0.0
1545,1,0.0,1,0.0
1546,2,0.0,2,0.0
1548,2,1.0,2,1.0
1549,1,1.0,1,1.0
1554,2,1.0,2,1.0
1555,1,0.0,1,0.0
1558,2,0.0,2,0.0
1560,1,0.0,1,0.0
1561,1,0.0,2,1.0
1563,1,0.0,1,0.0
1568,2,1.0,2,1.0
1569,1,1.0,1,1.0
1572,2,1.0,2,1.0
1574,1,1.0,1,1.0
1575,1,1.0,1,1.0
1581,1,1.0,2,0.0
1582,2,1.0,2,1.0
1585,2,0.0,2,0.0
1587,1,1.0,2,0.0
1588,1,1.0,1,1.0
1632,2,1.0,2,1.0
1635,1,1.0,1,1.0
1637,2,1.0,2,1.0
1638,2,0.0,1,1.0
1642,1,1.0,1,1.0
1644,2,1.0,2,1.0
1645,1,1.0,1,1.0
1659,2,1.0,1,0.0
1660,1,1.0,1,1.0
1665,2,1.0,2,1.0
1668,1,1.0,1,1.0
1673,1,1.0,1,1.0
1675,2,0.0,1,1.0
1676,2,1.0,2,1.0
1678,2,0.0,2,0.0
1679,1,1.0,1,1.0
1684,2,0.0,1,1.0
1685,1,1.0,1,1.0
1691,1,1.0,1,1.0
1693,2,0.0,2,0.0
1694,2,1.0,2,1.0
1696,2,1.0,2,1.0
1697,2,1.0,2,1.0
1702,2,1.0,2,1.0
1703,1,1.0,1,1.0
1768,1,1.0,1,1.0
1769,1,1.0,2,0.0
1771,1,0.0,2,1.0
1772,1,0.0,1,0.0
1777,1,1.0,1,1.0
1778,1,1.0,1,1.0
1792,1,1.0,1,1.0
1794,2,1.0,2,1.0
1795,2,1.0,2,1.0
1800,1,1.0,1,1.0
1801,1,1.0,1,1.0
1804,1,1.0,2,0.0
1805,1,1.0,1,1.0
1810,2,1.0,2,1.0
1811,2,1.0,2,1.0
1822,1,1.0,1,1.0
1827,2,1.0,2,1.0
1828,2,0.0,2,0.0
1834,2,1.0,2,1.0
1835,2,1.0,2,1.0
1855,2,1.0,2,1.0
1881,2,1.0,1,0.0
1883,2,0.0,1,1.0
1885,2,0.0,2,0.0
1886,1,1.0,2,0.0
1888,2,1.0,2,1.0
1891,2,1.0,2,1.0
1892,2,1.0,2,1.0
1939,2,0.0,2,0.0
1941,2,1.0,2,1.0
1943,1,0.0,1,0.0
1944,1,0.0,2,1.0
1946,1,1.0,1,1.0
1949,2,1.0,2,1.0
1950,1,1.0,2,0.0
1964,2,0.0,2,0.0
1966,1,1.0,2,0.0
1967,1,0.0,1,0.0
1969,1,0.0,1,0.0
1972,2,1.0,1,0.0
1973,2,1.0,2,1.0
1985,2,0.0,2,0.0
1986,1,0.0,2,1.0
1988,2,0.0,2,0.0
1991,2,1.0,2,1.0
1992,1,0.0,1,0.0
2001,1,0.0,1,0.0
2003,1,0.0,1,0.0
2006,2,1.0,2,1.0
2007,2,0.0,2,0.0
2009,2,0.0,1,1.0
2012,1,1.0,1,1.0
2013,2,0.0,2,0.0
2021,1,1.0,1,1.0
2022,1,0.0,1,0.0
2028,1,1.0,1,1.0
2030,1,0.0,1,0.0
2031,2,1.0,2,1.0
2032,1,1.0,1,1.0
2033,2,1.0,2,1.0
2034,2,1.0,2,1.0
2035,1,1.0,1,1.0
2042,1,0.0,2,1.0
2043,2,0.0,1,1.0
2044,2,1.0,1,0.0
2045,2,1.0,2,1.0
2046,2,0.0,2,0.0
2047,1,0.0,2,1.0
2048,2,1.0,2,1.0
2049,1,1.0,1,1.0
2050,2,0.0,2,0.0
2051,2,1.0,2,1.0
2052,1,0.0,1,0.0
2053,1,1.0,1,1.0
2054,2,0.0,2,0.0
2055,1,0.0,2,1.0
2056,2,0.0,2,0.0
2058,1,0.0,1,0.0
2061,1,1.0,1,1.0
2062,1,1.0,1,1.0
2064,2,0.0,2,0.0
2065,1,0.0,1,0.0
2066,1,1.0,1,1.0
2067,1,1.0,1,1.0
2068,2,1.0,2,1.0
2069,2,1.0,2,1.0
2088,2,0.0,2,0.0
2089,2,1.0,2,1.0
2091,2,0.0,2,0.0
2092,1,1.0,2,0.0
2093,2,0.0,2,0.0
2094,1,1.0,1,1.0
2095,1,1.0,1,1.0
2096,2,0.0,1,1.0
2122,1,0.0,1,0.0
2124,2,1.0,2,1.0
2125,2,1.0,2,1.0
2126,2,1.0,2,1.0
2127,1,1.0,1,1.0
2128,1,0.0,1,0.0
2129,1,1.0,1,1.0
2133,2,1.0,2,1.0
2134,1,0.0,1,0.0
2135,2,1.0,1,0.0
2136,1,1.0,1,1.0
2137,1,0.0,1,0.0
2138,1,1.0,2,0.0
2149,1,0.0,1,0.0
2150,2,0.0,2,0.0
2151,1,1.0,1,1.0
2152,1,1.0,1,1.0
2153,1,1.0,1,1.0
2156,1,0.0,1,0.0
2157,1,1.0,1,1.0
2158,2,1.0,2,1.0
2159,1,1.0,2,0.0
2162,1,1.0,1,1.0
2163,1,1.0,1,1.0
2164,2,1.0,2,1.0
2167,2,1.0,2,1.0
2168,1,1.0,1,1.0
2171,1,0.0,1,0.0
2177,1,0.0,1,0.0
2178,1,0.0,1,0.0
2180,1,1.0,1,1.0
2182,1,1.0,1,1.0
2185,1,0.0,1,0.0
2186,1,1.0,1,1.0
2189,1,0.0,1,0.0
2194,1,1.0,1,1.0
2196,2,0.0,2,0.0
2197,2,0.0,2,0.0
2199,1,1.0,1,1.0
2201,1,0.0,1,0.0
2204,1,0.0,2,1.0
2205,1,1.0,1,1.0
2208,2,1.0,1,0.0
2213,2,0.0,2,0.0
2215,2,1.0,2,1.0
2217,1,1.0,1,1.0
2219,1,0.0,1,0.0
2222,2,0.0,1,1.0
2223,2,1.0,2,1.0
2226,2,1.0,2,1.0
2231,1,0.0,1,0.0
2233,1,0.0,1,0.0
2252,2,0.0,2,0.0
2255,1,0.0,1,0.0
2256,1,1.0,1,1.0
2259,2,1.0,2,1.0
2264,2,0.0,2,0.0
2266,1,1.0,1,1.0
2284,2,0.0,2,0.0
2285,2,1.0,2,1.0
2288,2,1.0,2,1.0
2293,1,1.0,1,1.0
2295,2,0.0,2,0.0
2321,1,1.0,1,1.0
2324,1,1.0,1,1.0
2329,1,0.0,1,0.0
2331,2,1.0,2,1.0
2334,1,1.0,1,1.0
2339,1,1.0,1,1.0
2341,1,1.0,1,1.0
2363,1,1.0,1,1.0
2365,2,0.0,2,0.0
2385,1,0.0,1,0.0
2397,2,1.0,2,1.0
2401,2,1.0,2,1.0
2402,2,1.0,2,1.0
2403,2,1.0,2,1.0
2409,2,1.0,1,0.0
2410,2,0.0,2,0.0
2411,2,1.0,1,0.0
2432,1,0.0,2,1.0
2433,2,0.0,2,0.0
2436,2,1.0,2,1.0
2481,1,1.0,1,1.0
2482,1,1.0,1,1.0
2484,2,1.0,2,1.0
2485,1,0.0,1,0.0
2488,1,0.0,1,0.0
2489,2,1.0,2,1.0
2492,1,0.0,1,0.0
2494,1,1.0,1,1.0
2497,1,0.0,1,0.0
2501,1,1.0,1,1.0
2502,1,0.0,1,0.0
2504,2,0.0,2,0.0
2507,2,0.0,2,0.0
2511,1,1.0,1,1.0
2513,1,1.0,1,1.0
2515,1,1.0,1,1.0
2516,2,1.0,2,1.0
2553,1,1.0,1,1.0
2555,1,1.0,1,1.0
2556,2,1.0,1,0.0
2559,2,1.0,2,1.0
2560,1,1.0,1,1.0
2563,1,1.0,1,1.0
2565,1,0.0,1,0.0
2568,1,0.0,2,1.0
2572,1,0.0,2,1.0
2573,2,0.0,1,1.0
2575,2,1.0,2,1.0
2578,1,1.0,2,0.0
2582,1,1.0,1,1.0
2584,1,1.0,1,1.0
2586,2,1.0,2,1.0
2587,2,0.0,2,0.0
2589,2,0.0,1,1.0
2590,2,1.0,2,1.0
2593,2,1.0,2,1.0
2594,1,1.0,1,1.0
2597,1,1.0,1,1.0
2599,1,1.0,1,1.0
2602,2,1.0,2,1.0
2606,1,1.0,1,1.0
2607,1,1.0,1,1.0
2609,1,1.0,1,1.0
2612,1,1.0,1,1.0
2616,1,1.0,1,1.0
2618,2,1.0,2,1.0
2620,1,0.0,1,0.0
2621,2,1.0,2,1.0
2655,1,1.0,1,1.0
2658,1,1.0,1,1.0
2659,2,1.0,2,1.0
2662,1,1.0,1,1.0
2664,2,1.0,2,1.0
2667,2,1.0,2,1.0
2671,1,1.0,1,1.0
2672,2,1.0,2,1.0
2674,2,1.0,2,1.0
2677,1,1.0,1,1.0
2681,2,1.0,2,1.0
2683,1,1.0,1,1.0
2685,1,1.0,1,1.0
2686,1,1.0,1,1.0
2689,1,1.0,1,1.0
2690,2,0.0,1,1.0
2693,1,1.0,1,1.0
2695,2,0.0,2,0.0
2698,2,1.0,2,1.0
2702,2,1.0,2,1.0
2703,2,0.0,2,0.0
2705,2,1.0,2,1.0
2708,2,0.0,2,0.0
2712,2,1.0,2,1.0
2714,2,1.0,2,1.0
2716,1,1.0,1,1.0
2717,2,0.0,2,0.0
2777,2,1.0,2,1.0
2780,1,0.0,1,0.0
2782,2,0.0,2,0.0
2785,2,1.0,2,1.0
2789,1,1.0,1,1.0
2790,1,0.0,1,0.0
2792,2,1.0,2,1.0
2795,1,0.0,1,0.0
2799,2,1.0,2,1.0
2801,1,1.0,1,1.0
2803,1,1.0,1,1.0
2804,2,0.0,2,0.0
2807,1,1.0,1,1.0
2809,2,1.0,2,1.0
2812,1,0.0,2,1.0
2816,2,0.0,2,0.0
2817,2,0.0,2,0.0
2819,1,1.0,1,1.0
2822,2,1.0,1,0.0
2826,1,0.0,1,0.0
2828,2,1.0,2,1.0
2830,2,0.0,2,0.0
2831,2,1.0,2,1.0
2884,2,1.0,2,1.0
2887,2,1.0,2,1.0
2891,1,1.0,1,1.0
2892,1,0.0,1,0.0
2894,1,1.0,2,0.0
2897,2,0.0,2,0.0
2901,1,1.0,1,1.0
2903,2,1.0,2,1.0
2905,2,1.0,2,1.0
2906,1,1.0,2,0.0
2932,2,0.0,2,0.0
2936,1,0.0,1,0.0
2937,1,0.0,1,0.0
2939,1,1.0,1,1.0
2942,2,0.0,2,0.0
2946,1,1.0,1,1.0
2948,2,1.0,2,1.0
2950,1,0.0,1,0.0
2951,2,1.0,2,1.0
2996,1,0.0,1,0.0
2997,2,0.0,2,0.0
2999,2,1.0,2,1.0
3002,1,1.0,2,0.0
3006,1,1.0,1,1.0
3008,1,1.0,1,1.0
3010,1,1.0,1,1.0
3011,1,0.0,1,0.0
3063,2,1.0,1,0.0
3065,1,1.0,1,1.0
3068,2,0.0,2,0.0
3072,2,1.0,2,1.0
3074,1,1.0,1,1.0
3076,1,0.0,1,0.0
3077,1,1.0,1,1.0
3079,2,1.0,2,1.0
3082,1,1.0,2,0.0
3086,2,1.0,2,1.0
3088,1,1.0,1,1.0
3090,2,1.0,2,1.0
3091,2,0.0,2,0.0
3107,2,0.0,2,0.0
3111,2,1.0,2,1.0
3113,2,1.0,2,1.0
3115,1,1.0,1,1.0
3116,1,1.0,2,0.0
3141,1,1.0,1,1.0
3143,2,0.0,1,1.0
3145,2,1.0,2,1.0
3146,2,0.0,2,0.0
3169,2,1.0,2,1.0
3171,2,0.0,2,0.0
3172,1,1.0,1,1.0
3178,1,0.0,1,0.0
3179,2,1.0,2,1.0
3182,1,0.0,1,0.0
3187,2,0.0,2,0.0
3188,1,0.0,1,0.0
3190,1,1.0,1,1.0
3191,1,0.0,1,0.0
3195,2,1.0,2,1.0
3196,1,0.0,2,1.0
3200,2,1.0,2,1.0
3263,2,0.0,2,0.0
3265,1,0.0,1,0.0
3266,2,1.0,2,1.0
3270,1,0.0,1,0.0
3271,1,0.0,1,0.0
3275,2,1.0,2,1.0
3277,1,0.0,1,0.0
3278,1,0.0,1,0.0
3282,1,1.0,2,0.0
3283,2,0.0,2,0.0
3287,2,0.0,2,0.0
3299,1,1.0,1,1.0
3303,1,1.0,1,1.0
3304,1,1.0,2,0.0
3308,1,1.0,1,1.0
3312,2,1.0,2,1.0
3313,1,1.0,1,1.0
3317,1,1.0,1,1.0
3339,1,0.0,1,0.0
3343,1,1.0,2,0.0
3347,1,1.0,1,1.0
3393,2,0.0,1,1.0
3394,1,0.0,1,0.0
3396,1,0.0,1,0.0
3399,2,1.0,2,1.0
3400,1,1.0,1,1.0
3402,1,0.0,1,0.0
3407,1,0.0,1,0.0
3409,1,1.0,1,1.0
3410,2,0.0,1,1.0
3411,2,0.0,2,0.0
3413,2,0.0,2,0.0
3416,2,1.0,1,0.0
3417,1,0.0,1,0.0
3419,2,1.0,2,1.0
3424,2,0.0,2,0.0
3426,1,0.0,1,0.0
3427,1,0.0,2,1.0
3429,1,1.0,2,0.0
3432,2,0.0,2,0.0
3433,2,1.0,1,0.0
3435,2,1.0,2,1.0
3440,2,1.0,1,0.0
3442,1,0.0,1,0.0
3443,2,0.0,2,0.0
3461,2,1.0,1,0.0
3462,1,1.0,2,0.0
3464,1,0.0,1,0.0
3469,1,0.0,1,0.0
3471,2,1.0,2,1.0
3472,2,1.0,2,1.0
3498,2,0.0,1,1.0
3500,1,1.0,2,0.0
3505,1,0.0,1,0.0
3507,1,1.0,2,0.0
3508,2,1.0,2,1.0
3510,2,1.0,2,1.0
3515,2,0.0,2,0.0
3517,1,1.0,1,1.0
3518,1,1.0,1,1.0
3532,1,1.0,1,1.0
3534,1,1.0,2,0.0
3535,1,1.0,1,1.0
3559,2,0.0,1,1.0
3560,2,0.0,2,0.0
3563,1,1.0,1,1.0
3566,2,0.0,2,0.0
3567,2,1.0,2,1.0
3568,2,1.0,2,1.0
3570,1,1.0,1,1.0
3572,2,1.0,2,1.0
3574,2,1.0,2,1.0
3597,2,1.0,2,1.0
3598,1,1.0,1,1.0
3600,1,1.0,1,1.0
3602,1,1.0,1,1.0
3604,2,0.0,2,0.0
3606,2,0.0,2,0.0
3608,2,1.0,2,1.0
3610,2,1.0,1,0.0
3612,2,1.0,2,1.0
3615,1,1.0,2,0.0
3617,1,0.0,2,1.0
3619,2,0.0,2,0.0
3628,1,1.0,1,1.0
3630,1,1.0,1,1.0
3637,2,1.0,2,1.0
3657,1,0.0,2,1.0
3658,2,0.0,1,1.0
3660,1,0.0,1,0.0
3662,2,0.0,2,0.0
3663,1,0.0,2,1.0
3665,2,0.0,2,0.0
3667,2,0.0,2,0.0
3669,2,0.0,2,0.0
3671,1,1.0,2,0.0
3676,1,1.0,1,1.0
3713,2,1.0,2,1.0
3719,1,1.0,1,1.0
3720,2,0.0,1,1.0
3721,2,1.0,2,1.0
3723,2,1.0,2,1.0
3725,1,1.0,1,1.0
3726,2,1.0,2,1.0
3727,1,1.0,1,1.0
3734,2,1.0,2,1.0
3735,2,0.0,2,0.0
3736,2,1.0,1,0.0
3738,1,1.0,1,1.0
3740,1,1.0,1,1.0
3741,1,1.0,1,1.0
3742,1,1.0,1,1.0
3804,1,1.0,1,1.0
3805,2,1.0,2,1.0
3807,2,1.0,2,1.0
3809,2,1.0,2,1.0
3810,1,1.0,1,1.0
3811,1,0.0,1,0.0
3813,2,1.0,2,1.0
3815,1,1.0,1,1.0
3817,1,1.0,1,1.0
3818,1,1.0,1,1.0
3819,2,1.0,2,1.0
3822,1,1.0,1,1.0
3824,2,1.0,2,1.0
3825,2,1.0,2,1.0
3826,2,1.0,2,1.0
3835,1,0.0,1,0.0
3836,1,1.0,1,1.0
3837,1,1.0,1,1.0
3843,2,0.0,2,0.0
3844,1,1.0,1,1.0
3846,2,1.0,2,1.0
3849,1,0.0,1,0.0
3851,1,1.0,1,1.0
3852,2,0.0,2,0.0
3854,2,0.0,2,0.0
3855,1,0.0,1,0.0
3856,1,0.0,2,1.0
3857,1,1.0,1,1.0
3858,1,1.0,1,1.0
3859,2,0.0,2,0.0
3861,2,1.0,2,1.0
3862,2,1.0,1,0.0
3864,1,0.0,1,0.0
3865,2,1.0,2,1.0
3866,2,1.0,2,1.0
3867,1,1.0,1,1.0
3868,1,0.0,2,1.0
3869,1,0.0,1,0.0
3879,2,1.0,2,1.0
3881,1,1.0,1,1.0
3882,1,1.0,1,1.0
3883,2,1.0,2,1.0
3884,1,1.0,1,1.0
3885,1,1.0,1,1.0
3886,1,1.0,2,0.0
3888,2,1.0,2,1.0
3889,2,0.0,1,1.0
3890,1,1.0,1,1.0
3891,2,1.0,2,1.0
3892,2,1.0,2,1.0
3893,1,1.0,1,1.0
3900,2,1.0,2,1.0
3901,2,1.0,2,1.0
3902,2,0.0,2,0.0
3903,2,0.0,2,0.0
3904,1,1.0,1,1.0
3905,2,1.0,2,1.0
3906,2,0.0,2,0.0
3907,1,1.0,1,1.0
3908,2,0.0,2,0.0
3909,1,1.0,2,0.0
3910,1,1.0,1,1.0
3911,1,1.0,1,1.0
3912,1,1.0,2,0.0
3913,2,1.0,2,1.0
3914,2,0.0,2,0.0
3928,1,0.0,1,0.0
3929,2,1.0,2,1.0
3931,2,0.0,2,0.0
3933,2,0.0,2,0.0
3939,2,0.0,2,0.0
3940,1,1.0,1,1.0
3942,2,1.0,2,1.0
3944,1,0.0,2,1.0
3950,2,1.0,2,1.0
3952,1,0.0,1,0.0
3954,1,1.0,1,1.0
3960,1,0.0,1,0.0
3971,2,0.0,2,0.0
3977,1,1.0,1,1.0
3990,2,1.0,1,0.0
